text document,label
I love this sandwhich,pos
this is an amazing place,pos
I feel very good about these beers,pos
this is my best work,pos
what an awesom view,pos
I do not like this restaurent,neg
I am tired of this stuff,neg
I cant deal with this,neg
he is my sworn enemy,neg
my boss is horible,neg
this is an awesom place,pos
I do not like the taste of this juice,neg
I love to dance,pos
I am sick and tired of this place,neg
what a great holiday,pos
this is a bad locality to stay,neg
we will have good fun tomorrow,pos
I went to my enemy's home today,neg
